batch,trial,started_at_unix_ms,absent_probe,t_total_us,build_us,head_wire_us,sync_wire_us,answer_wire_us,setup_wire_us,finish_us,residual_us,rewind_us,decode_us,delta_apply_us,scan_us,server_compute_ns,server_handler_ns,query_bytes,response_bytes,response_content_length,setup_bytes,at_block,pinned_block,stale_blocks,delta_cells,found,provider_match,provider_hex_match,provider_error,provider_rtt_us,client_rss_bytes,attempts,error
0,29,1788390612706,0,2294680,83317,235228,0,1955150,0,20363,622,1,20348,1,5,609335891,609574531,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,96546,,1,
0,30,1788390615601,0,2006354,84334,236149,0,1666023,0,19231,617,1,19216,1,5,608490440,608771100,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,96703,1136984064,1,
0,31,1788390618212,0,2250046,80596,282684,0,1868439,0,17713,614,1,17696,2,5,609161817,609444997,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,98252,,1,
0,32,1788390621062,0,2136715,83000,299529,0,1736563,0,17138,485,0,17124,1,5,609500141,609773501,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,96511,,1,
0,33,1788390623799,0,1987705,80855,234656,0,1653064,0,18500,630,1,18483,1,5,609072557,609332187,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,98349,,1,
0,34,1788390626387,0,2059853,83119,233808,0,1725519,0,16922,485,1,16909,1,4,608630956,608861526,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,99340,,1,
0,35,1788390629050,0,2196690,83637,299243,0,1796995,0,16378,437,0,16365,1,5,608677656,608964996,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,98545,,1,
0,36,1788390631846,0,2132437,84907,268120,0,1759703,0,19091,616,1,19078,1,4,607578856,607836676,435083,434387,434387,0,25892719,25892719,0,0,0,1,1,,102291,,1,
0,37,1788390634583,0,4442389,84372,234570,0,4103670,0,19140,637,1,19123,1,6,609596286,609853326,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,100345,,1,
0,38,1788390639628,0,4346761,82483,235152,0,4008117,0,20387,622,1,20371,1,5,610271682,610501162,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,98393,,1,
0,39,1788390644575,0,5443220,77931,236351,0,5108462,0,19834,642,1,19822,1,3,609117697,609369687,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,98358,,1,
0,40,1788390650619,0,3016245,83549,237608,0,2674540,0,19902,646,1,19888,1,3,609960147,610219557,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,156214,1137016832,1,
0,41,1788390654300,0,2553297,76296,236389,0,2218656,0,21335,621,1,21319,1,5,609890962,610126022,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,98300,,1,
0,42,1788390657454,0,2433729,84373,260534,0,2068938,0,19259,625,1,19245,1,5,609741182,609987802,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,100200,,1,
0,43,1788390660491,0,2165247,81727,296016,0,1766185,0,20681,638,1,20667,1,4,609550948,609799678,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,99224,,1,
0,44,1788390663259,0,2156945,77679,292282,0,1767744,0,18738,502,1,18726,1,3,609062864,609312614,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,101356,,1,
0,45,1788390666020,0,2021456,71345,235982,0,1695499,0,18004,626,1,17982,1,6,608511126,608765206,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,103182,,1,
0,46,1788390668648,0,2094413,83599,234428,0,1756382,0,19377,627,1,19364,1,3,609408661,609727341,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,97983,,1,
0,47,1788390671342,0,2371674,77517,240338,0,2032486,0,20709,624,1,20693,1,5,608204736,608452836,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,98527,,1,
0,48,1788390674315,0,1895135,79484,295813,0,1503090,0,16361,387,0,16347,1,4,608809427,609057937,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,98600,,1,
0,49,1788390676811,0,2131235,81085,233433,0,1794378,0,21720,619,1,21707,1,3,607910426,608157196,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,97282,,1,
0,50,1788390679542,1,2148795,83244,291503,0,1754246,0,19202,600,1,19190,1,3,609229786,609493416,435083,434387,434387,0,25892719,25892719,0,0,0,1,1,,97455,1137016832,1,
0,51,1788390682294,0,2477305,76745,323531,0,2055627,0,20790,612,1,20773,1,6,610049197,610352397,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,97517,,1,
0,52,1788390685372,0,2470773,74886,236877,0,2138978,0,19424,608,1,19411,1,4,608067815,608326115,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,109613,,1,
0,53,1788390688455,0,2219675,83231,287242,0,1830064,0,18642,496,1,18627,1,5,610258776,610496996,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,99026,,1,
0,54,1788390691274,0,1979639,81709,233119,0,1646032,0,18145,634,1,18133,1,2,611168347,611427607,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,99348,,1,
0,55,1788390693856,0,2763962,79048,780207,0,1883129,0,20946,632,1,20932,0,4,609779803,610026343,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,96735,,1,
0,56,1788390697221,0,2096053,83587,327772,0,1666460,0,17811,423,0,17795,1,6,609443887,609692187,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,98290,,1,
0,57,1788390699916,0,1995189,83336,237504,0,1653249,0,20404,696,1,20389,1,4,608084757,608375667,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,96662,,1,
0,58,1788390702512,0,2243335,83658,258902,0,1881207,0,18958,610,1,18938,1,4,609618387,609857797,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,97872,,1,
0,59,1788390705354,0,2014018,79198,233226,0,1682303,0,18695,596,1,18680,1,5,610697189,610946329,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,98913,,1,
0,60,1788390707970,0,2266382,81176,329925,0,1834860,0,19776,645,1,19760,2,6,610922602,611156702,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,99508,1137049600,1,
0,61,1788390710843,0,2153941,82168,331491,0,1720600,0,19050,632,1,19033,1,6,609099635,609330485,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,100690,,1,
0,62,1788390713601,0,2101075,83131,244610,0,1752300,0,20534,500,1,20519,1,4,609885685,610148165,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,104357,,1,
0,63,1788390716309,0,2349586,83521,285688,0,1959075,0,20677,625,1,20662,1,6,609476175,609732935,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,95635,,1,
0,64,1788390719256,0,2025512,82932,233471,0,1689716,0,18647,746,1,18632,1,5,607599773,607857843,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,98737,,1,
0,65,1788390721881,0,2073148,83760,242495,0,1725202,0,21060,631,1,21045,1,4,608480545,608755105,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,98476,,1,
0,66,1788390724555,0,2092887,82529,233618,0,1759784,0,16523,433,0,16509,1,4,608481785,608736565,435083,434387,434387,0,25892719,25892719,0,0,0,1,1,,98026,,1,
0,67,1788390727249,1,2233130,81296,302791,0,1827658,0,20762,623,1,20747,1,5,608949867,609183277,435083,434387,434387,0,25892719,25892719,0,0,0,1,1,,97320,,1,
0,68,1788390730081,0,2099262,84383,335893,0,1660017,0,18351,618,1,18336,1,5,608486264,608709844,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,98498,,1,
0,69,1788390732783,0,2022701,82637,236203,0,1684948,0,18426,487,1,18411,1,5,608443794,608707744,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,99926,,1,
0,70,1788390735408,0,2101297,77062,236989,0,1727756,0,58988,502,0,58973,1,6,610795676,611066456,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,97976,1138491392,1,
0,71,1788390738116,0,2292957,83686,242570,0,1946621,0,19447,633,1,19432,1,5,609250715,609618225,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,98057,,1,
0,72,1788390741009,0,2124492,76995,263944,0,1770051,0,13210,292,0,13199,1,3,609248515,609487475,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,95595,,1,
0,73,1788390743732,0,2150855,81880,233378,0,1814314,0,20639,644,1,20623,1,5,609315034,609556844,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,97895,,1,
0,74,1788390746482,0,1961558,74391,235943,0,1637471,0,13400,353,0,13387,1,5,607990964,608227214,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,97165,,1,
0,75,1788390749045,0,1947314,57050,232967,0,1637412,0,19271,614,1,19254,1,6,608167484,608429954,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,97994,,1,
0,76,1788390751594,0,2052944,83158,233840,0,1716115,0,19182,649,1,19145,1,7,607729672,607975832,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,97642,,1,
0,77,1788390754247,0,2679737,79495,236214,522555,1818711,0,18945,3817,303,18625,3,5,611520094,611769154,435083,434387,434387,0,25892723,25892719,4,9575,1,1,1,,97810,,1,
0,78,1788390757528,0,2596689,77382,336168,474786,1680371,0,19316,8666,587,18710,3,6,611740436,612002066,435083,434387,434387,0,25892732,25892719,13,29372,1,1,1,,109778,,1,
0,79,1788390760736,0,2559280,79430,236472,506457,1712035,0,16499,8387,614,15864,4,8,613209635,613479425,435083,434387,434387,0,25892740,25892719,21,48669,1,1,1,,97052,,1,
0,80,1788390763896,0,2694075,78036,315408,509590,1762568,0,20643,7830,895,19731,4,5,611336817,611568627,435083,434387,434387,0,25892748,25892719,29,60993,1,1,1,,98218,1140932608,1,
0,81,1788390767194,0,2460593,80371,237090,237473,1878850,0,21630,5179,1017,20592,4,6,610566986,610804846,435083,434387,434387,0,25892751,25892719,32,66640,1,1,1,,99544,,1,
0,82,1788390770255,0,2062188,82481,233906,0,1725171,0,20018,612,1021,18978,4,5,607651315,607908415,435083,434387,434387,0,25892751,25892719,32,66640,1,1,1,,95823,,1,
0,83,1788390772916,0,2066202,81764,233869,0,1732261,0,17675,633,1023,16631,4,5,609303487,609556237,435083,434387,434387,0,25892751,25892719,32,66640,1,1,1,,96238,,1,
0,84,1788390775582,0,2195568,83194,233820,0,1864316,0,13859,379,528,13317,4,4,608572882,608833442,435083,434387,434387,0,25892751,25892719,32,66640,1,1,1,,100518,,1,
0,85,1788390778379,0,1963214,69310,233204,0,1639662,0,20562,476,1037,19508,5,5,609750366,609969876,435083,434387,434387,0,25892751,25892719,32,66640,1,1,1,,96315,,1,
0,86,1788390780941,1,2029148,82245,233815,0,1694164,0,18281,643,1022,17241,4,6,610662824,610898324,435083,434387,434387,0,25892751,25892719,32,66640,0,1,1,,108324,,1,
0,87,1788390783580,0,2465560,83745,236610,0,2123615,0,20977,613,1017,19941,4,5,609929964,610166294,435083,434387,434387,0,25892751,25892719,32,66640,1,1,1,,97623,,1,
0,88,1788390786647,0,2229739,81915,297397,0,1830097,0,19713,617,1034,18662,4,4,608988627,609256447,435083,434387,434387,0,25892751,25892719,32,66640,1,1,1,,97078,,1,
0,89,1788390789478,0,2031003,82148,236216,0,1695954,0,16306,379,819,15470,4,6,608161163,608397073,435083,434387,434387,0,25892751,25892719,32,66640,1,1,1,,96858,,1,
0,90,1788390792111,0,2040873,79019,266591,0,1674552,0,20238,473,793,19428,4,5,610317947,610555667,435083,434387,434387,0,25892751,25892719,32,66640,1,1,1,,97416,1141145600,1,
0,91,1788390794759,0,2150644,82274,283101,0,1764522,0,20117,630,1096,19002,4,5,609107676,609369966,435083,434387,434387,0,25892751,25892719,32,66640,1,1,1,,102067,,1,
0,92,1788390797517,0,2160033,80620,255237,0,1801448,0,22106,622,1161,20928,4,5,610049307,610289087,435083,434387,434387,0,25892751,25892719,32,66640,1,1,1,,99086,,1,
0,93,1788390800281,0,2263936,83211,294634,0,1863818,0,21634,639,1032,20584,4,5,611398960,611635930,435083,434387,434387,0,25892751,25892719,32,66640,1,1,1,,98274,,1,
0,94,1788390803148,0,2097910,83502,298391,0,1693816,0,21575,626,1025,20529,5,7,610978928,611216928,435083,434387,434387,0,25892751,25892719,32,66640,1,1,1,,96869,,1,
0,95,1788390805844,0,2236823,70829,236626,0,1905525,0,23230,613,1047,22167,4,5,609231053,609459133,435083,434387,434387,0,25892751,25892719,32,66640,0,1,1,,96092,,1,
0,96,1788390808682,0,2429296,81421,294447,0,2032777,0,20025,626,1048,18958,4,8,610090511,610328131,435083,434387,434387,0,25892751,25892719,32,66640,1,1,1,,98049,,1,
0,97,1788390811713,0,2096899,81220,233989,0,1762976,0,18093,621,1030,17042,4,5,611658367,611893417,435083,434387,434387,0,25892751,25892719,32,66640,1,1,1,,97325,,1,
0,98,1788390814411,0,2507587,83042,315473,0,2088449,0,20018,605,1029,18970,5,5,610038757,610283917,435083,434387,434387,0,25892751,25892719,32,66640,1,1,1,,99161,,1,
0,99,1788390817520,0,2070913,82214,264832,0,1709143,0,14363,361,460,13889,3,4,610962959,611219369,435083,434387,434387,0,25892751,25892719,32,66640,1,1,1,,97629,,1,
1,100,1788395928386,0,4213944,147837,236992,0,3713093,0,115559,463,3716,111823,6,8,610912783,611163773,435083,434387,434387,0,25893165,25892719,446,566521,1,1,1,,225936,1151549440,1,
1,101,1788395933331,0,2907232,76295,276599,0,2523938,0,30005,395,6933,23053,7,6,610653773,610864343,435083,434387,434387,0,25893165,25892719,446,566521,1,1,1,,106547,,1,
